kost_name_rough,kota,type_kos,area,facility_score,harga_nomina
Kost Omah MbahTi Umbulharjo Yogyakarta,jogja,putri,umbulharjo,6,750001
Kost Wiro Seno Umbulharjo Yogyakarta,jogja,putri,umbulharjo,2,500000
Kost Putri Kendedes Umbulharjo Yogyakarta,jogja,putri,umbulharjo,4,850000
Kost Arika Tipe A Umbulharjo Yogyakarta,jogja,putri,umbulharjo,4,800000
Kost Raisa Tipe C Sukajadi Bandung,bandung,campur,sukajadi,4,900000
Kost Peppy Dewi Sartika Bandung,bandung,putri,regol,2,500000
Kost Wanita Pandu Dalam Cicendo Bandung,bandung,putri,cicendo,0,500000
Kost Balebat Taman Sari Bandung,bandung,putra,bandung wetan,2,1000000
Kost Green House 78 Tipe B Coblong Bandung,bandung,putra,coblong,4,900000
Kost Jl Lengkong Kecil Bandung,bandung,campur,lengkong,6,800000
Kost Orange House Coblong Bandung,bandung,campur,coblong,6,900000
Kost Ibu Hely Cicendo Bandung,bandung,campur,cicendo,4,750000
Kost Putri Andriyanti Bandung,bandung,putri,regol,2,650000
Kost Ibu Ike Pungkur Regol Bandung,bandung,campur,regol,4,850000
Kost Arimbi Regol Bandung,bandung,campur,regol,2,1250000
Kost Auliya Regol Bandung,bandung,campur,regol,6,1600000
Kost Auliya Tipe A Regol Bandung,bandung,campur,regol,4,1000000
Kost Elise Tipe A Bandung Wetan,bandung,putri,bandung wetan,4,900000
Kost 67 Paledang Lengkong Bandung,bandung,putri,lengkong,6,1000000
Kost Melkid Abc Lengkong Bandung,bandung,putri,lengkong,4,1000000
Kost Ahmad 4 No 6 Cicendo Bandung,bandung,campur,cicendo,2,625000
Kost She House Gatsu Kiaracondong Bandung,bandung,putra,kiaracondong,4,500000
Kost Studiomels Putri Antapani Bandung,bandung,putri,antapani,2,500000
Kost Cibodas Raya Tipe A Antapani Bandung,bandung,campur,antapani,4,900000
Kost Gempol Cibeunying Kidul Bandung,bandung,campur,cibeunying kidul,2,500000
Kost Banjar Laksana Antapani Bandung,bandung,campur,antapani,2,1000000
Kost Kinclong Antapani Bandung,bandung,putri,antapani,0,600000
Kost Pondok 66 Kiaracondong Bandung,bandung,campur,kiaracondong,6,800000
Kost Umiabu Kiaracondong Bandung,bandung,campur,kiaracondong,4,500000
Kost Ibu Tina Kiaracondong Bandung,bandung,campur,kiaracondong,4,700000
Kost RinaH Tipe A Antapani Bandung,bandung,campur,antapani,2,650000
Kost Panjalu Kiaracondong Bandung,bandung,putri,kiaracondong,0,400000
Kost Butika Antapani Bandung,bandung,campur,antapani,2,800000
Kost Family 261 Kiaracondong Bandung,bandung,campur,kiaracondong,2,650000
Kost Yoel Valentino Antapani Bandung,bandung,campur,antapani,6,650000
Kost Pak Ahmad Kiaracondong Bandung,bandung,putri,kiaracondong,4,650000
Kost Bu Suyati  Antapani Bandung,bandung,campur,antapani,4,800000
[FLEXI] Kost Singgahsini Griya Kaum Residence Tipe B Sukajadi Bandung,bandung,campur,sukajadi,6,1520000
[FLEXI] Kost Singgahsini Griya Kaum Residence Tipe A Sukajadi Bandung,bandung,campur,sukajadi,6,1420000
[FLEXI] Kost Singgahsini Griya Kaum Residence Tipe C Sukajadi Bandung,bandung,campur,sukajadi,6,1890000
[FLEXI] Kost Singgahsini Griya Kaum Residence Tipe E Sukajadi Bandung,bandung,campur,sukajadi,6,1920000
[FLEXI] Kost Singgahsini Griya Kaum Residence Plus Tipe B Sukajadi Bandung,bandung,campur,sukajadi,6,2320000
Kost  Eya & Eza Tipe E Bandung Wetan,bandung,campur,bandung wetan,4,1100000
Kost Jalan Maulana Yusuf 2 Bandung Wetan,bandung,putra,bandung wetan,2,1650000
Kost Kebon Bibit 15 Tipe B Bandung Wetan Bandung,bandung,putri,bandung wetan,6,800000
Kost Pelesiran 56/57 Tipe A Coblong Bandung,bandung,putra,coblong,4,750000
Kost Pelesiran 53 Coblong Bandung,bandung,putri,bandung wetan,4,1000000
Kost Taman Tipe C Sukajadi Bandung,bandung,campur,sukajadi,2,1500000
Kost Taman Tipe D Sukajadi Bandung,bandung,campur,sukajadi,2,1800000
Kost Taman Tipe A Sukajadi Bandung,bandung,campur,sukajadi,4,1300000
Kost Wastu Tipe A Bandung Wetan,bandung,campur,bandung wetan,4,750000
Kost Wastu Tipe C Bandung Wetan,bandung,campur,bandung wetan,4,900000
Kost Eksklusif Puri Almada Puri Indah Jatinangor Sumedang,bandung,putra,jatinangor,6,850000
Kost Wisma Sejahtera Putri Jatinangor Sumedang,bandung,putri,jatinangor,4,1420000
Kost Wisma Beriman Putra Jatinangor Sumedang,bandung,putra,jatinangor,4,1250000
Kost Wisma Beriman Jatinangor Sumedang,bandung,campur,jatinangor,4,1250000
Kost Casa Mia Exclusive Jatinangor Sumedang,bandung,campur,jatinangor,4,2500000
Kost Puri Paramita Jatinangor Bandung,bandung,putri,jatinangor,4,950000
Kost Satu Jatinangor Sumedang Bandung,bandung,putra,jatinangor,4,500000
Kost Wisma Titian Jatinangor Sumedang,bandung,putri,jatinangor,6,1750000
Kost Pak Dian Tipe C Sukasari Bandung,bandung,putri,sukasari,6,950000
Kost Budiasih Tipe A Sukasari Bandung,bandung,campur,sukasari,4,700000
Kost Budiasih Tipe B Sukasari Bandung,bandung,campur,sukasari,4,850000
Kost Budiasih Tipe C Sukasari Bandung,bandung,campur,sukasari,4,950000
Kost Earth Sukasari Bandung,bandung,campur,sukasari,0,800000
Kost Murah Ganesha Sukajadi Bandung,bandung,campur,sukajadi,2,1800000
Kost ibu Oneng Tipe A Sukasari Bandung,bandung,putri,sukasari,2,650000
Kost Ibu Riris Sukasari Bandung,bandung,putri,sukasari,2,650000
Kost ibu Oneng Tipe B Sukasari Bandung,bandung,putri,sukasari,2,900000
Kost Bp Iden Tipe A Sukasari Bandung,bandung,campur,sukasari,2,450000
Kost Bp Iden Tipe B Sukasari Bandung,bandung,campur,sukasari,2,500000
Kost Bp Iden Tipe C Sukasari Bandung,bandung,campur,sukasari,4,600000
Kost Cipedes 227 Sukasari Bandung,bandung,putri,sukasari,4,500000
Kost 77 Sukasari Bandung,bandung,campur,sukasari,2,800000
Kost Dekat PVJ Sukajadi Bandung,bandung,campur,sukajadi,4,600000
Kost Ibu Tobing Sukasari Bandung,bandung,campur,sukasari,2,700000
Kost Budiluhur 4 Tipe A Sukasari Bandung,bandung,campur,sukasari,2,850000
Kost Pak Salman Sukajadi Bandung,bandung,campur,sukajadi,4,600000
Kost Assyifa Sukasari Bandung,bandung,putra,sukasari,2,1500000
Kost Bungur 33 Sukajadi Bandung,bandung,campur,sukajadi,0,700000
Kost Bu Sri Tipe C Cibeunying Kidul Bandung,bandung,putri,cibeunying kidul,6,850000
Kost Bu Sri Tipe B Cibeunying Kidul Bandung,bandung,putri,cibeunying kidul,6,800000
Kost Bekalivron 18 Tipe B Cibeunying Kidul Bandung,bandung,campur,cibeunying kidul,6,1000000
Kost Bekalivron 18 Tipe C Cibeunying Kidul Bandung,bandung,campur,cibeunying kidul,6,1200000
Kost Al Huda Muslimah III Cibeunying Kidul Bandung,bandung,putri,cibeunying kidul,4,700000
Kost Al Huda Muslimah II Tipe C Cibeunying Kidul Bandung,bandung,putri,cibeunying kidul,4,750000
Kost Al Huda Muslimah I Tipe A Cibeunying Kidul Bandung,bandung,putri,cibeunying kidul,4,700000
Kost No 73 Tipe B Cibeunying Kaler Bandung,bandung,campur,cibeunying kaler,6,1200000
Kost No 73 Tipe A Cibeunying Kaler Bandung,bandung,campur,cibeunying kaler,4,1000000
Kost Ibu Yunita Type A Cibeunying Kidul Bandung,bandung,putri,cibeunying kidul,4,750000
Kost Tenda Biru Tipe B Cibeunying Kaler Bandung,bandung,campur,cibeunying kaler,6,800000
Kost Tenda Biru Tipe A Cibeunying Kaler Bandung,bandung,campur,cibeunying kaler,6,600000
Kost Kantin Elroz Sekeloa Coblong Bandung,bandung,campur,coblong,4,600000
Kost Pondok Eros Coblong Bandung,bandung,campur,coblong,6,850000
Kost Wisma salsabila Coblong Bandung,bandung,putri,coblong,4,750000
Kost Ern's Coblong Bandung,bandung,campur,coblong,4,1500000
Kost Nijisi House Tipe B Coblong Bandung,bandung,putri,coblong,2,1650000
Kost Nijisi House Tipe A Coblong Bandung,bandung,putri,coblong,2,1550000
Kost Muslimah Coblong Bandung,bandung,putri,coblong,6,1100000
Kost Muslim Maddina House Dago Coblong Bandung,bandung,putra,coblong,2,400000
Kost Tubiz Coblong Bandung,bandung,putri,coblong,6,1150000
Kost Cahaya Rahayu Coblong Bandung,bandung,campur,coblong,2,1200000
Kost Eksklusif Assakinah Tubagus Ismail Coblong Bandung,bandung,putri,coblong,6,1500000
Kost Dago Asri Coblong Bandung,bandung,putra,coblong,6,2300000
Kost Farmakologi Tipe A Cibeunying Kaler Bandung,bandung,campur,cibeunying kaler,4,800000
Kost Deeva Coblong Dago Bandung,bandung,putri,coblong,4,1600000
Kost Rumah Aca Coblong Bandung,bandung,campur,coblong,0,3000000
Kost Rasya Dago Bandung,bandung,campur,coblong,4,460000
Kost Abi Ir H Djuanda Gang Wardia No 26 Coblong Bandung,bandung,putri,coblong,4,1300000
Kost Pondok Habibie Coblong Bandung,bandung,putri,coblong,2,750000
Kost Sanggar Huni Buahbatu Bandung,bandung,putri,buahbatu,2,700000
Kost Harmony House Buahbatu Bandung,bandung,campur,buahbatu,4,1550000
Kost Exclusive Jl Soekarno - Hatta  Bandung,bandung,campur,buahbatu,2,3500000
Kost Bumi Kiara Kiaracondong Bandung,bandung,campur,kiaracondong,2,500000
Kost Papangungan Kiaracondong Bandung,bandung,campur,kiaracondong,2,350000
Kost Karyawan Kawaluyaan Buahbatu Bandung,bandung,putra,buahbatu,2,1500000
Kost Rumahku Tipe A Buahbatu Bandung,bandung,campur,buahbatu,6,1600000
Kost Rumahku Tipe D Buahbatu Bandung,bandung,campur,buahbatu,4,2150000
Kost Rumahku Tipe B Buahbatu Bandung,bandung,campur,buahbatu,6,1800000
Kost Maleka Home Tipe A Buah Batu Bandung,bandung,campur,buahbatu,0,750000
Kost Kamal Buahbatu Bandung,bandung,campur,buahbatu,2,400000
Kost Bu Iin Tipe A Lengkong Bandung,bandung,putri,lengkong,2,600000
Kost Bu Iin Tipe B Lengkong Bandung,bandung,putri,lengkong,2,700000
Kost Kelinci 11 Tipe A Lengkong Bandung,bandung,campur,lengkong,6,850000
Kost Kalista Astanaanyar Bandung,bandung,campur,astanaanyar,2,800000
Kost Eksklusif Pondok Kayu Agung Buah Batu Bandung,bandung,campur,lengkong,6,2500000
Kost Ibu Lilis Pamagersari Tipe A Regol Bandung,bandung,putri,regol,2,500000
Kost Ibu Upi Tipe B Lengkong Bandung,bandung,campur,lengkong,6,900000
Kost  Karyawan Putra Pasir Salam Tipe B Regol Bandung,bandung,putra,regol,2,750000
Kost Pondok Hijau Tegallega Bandung,bandung,putri,astanaanyar,2,650000
Kost Ibu Nenden Tipe B Bangbayang Coblong Bandung,bandung,campur,coblong,4,1500000
Kost Dani Sukajadi Bandung,bandung,campur,sukajadi,4,3000000
Kost Bakti Tipe A 3 Sukajadi Bandung,bandung,campur,sukajadi,6,1100000
Kost Waspada 3 Sukajadi Bandung,bandung,campur,sukajadi,6,2400000
Kost Green House Bandung,bandung,putra,coblong,4,850000
Kost 28 Cicendo Tipe B Cicendo Bandung,bandung,campur,cicendo,2,700000
Kost 28 Cicendo Tipe A Cicendo Bandung,bandung,campur,cicendo,4,700000
Kost Pondok Mangga Sukajadi Bandung,bandung,campur,sukajadi,4,600000
Kost Andri Sukasari Bandung,bandung,campur,sukasari,6,850000
Kost Moal Pundung Sukajadi Bandung,bandung,putra,sukajadi,4,600000
Kost CST 9 Dago Bandung,bandung,putra,coblong,4,750000
Kost Ganesha Surya Sumantri Sarijadi Sukajadi Bandung,bandung,campur,sukajadi,4,950000
Kost Rengganis 1B Pav Coblong Bandung,bandung,putri,coblong,6,2000000
Kost Exclusive Sarijadi 93 Sukasari Bandung,bandung,putri,sukasari,4,1500000
Kost Gloria Ecorooms Tipe A-1 Sukajadi Bandung,bandung,campur,sukajadi,4,1200000
Kost Pondok Mangga Mini Sukajadi Bandung,bandung,campur,sukajadi,6,500000
Kost Gloria Ecorooms Tipe C Sukajadi Bandung,bandung,campur,sukajadi,0,750000
Kost Bu Imas Tipe B Sukajadi Bandung,bandung,campur,sukajadi,0,500000
Kost Rumah Bu Imas Sukajadi Bandung,bandung,campur,sukajadi,4,700000
Kost Gemilang Tipe B Regol Bandung,bandung,campur,regol,6,700000
Kost Ratuyeni  Tipe B Astanaanyar Bandung,bandung,campur,astanaanyar,0,650000
Kost Ratuyeni Pelindung Hewan Astanaanyar Bandung,bandung,campur,astanaanyar,2,850000
Kost Doni Leuwipanjang Bojongloa Kidul Bandung,bandung,campur,bojongloa kidul,4,750000
Kost Pondok Bunda Tipe A Bojongloa Kidul Bandung,bandung,campur,bojongloa kidul,6,700000
Kost Karang Rereuh Regol Bandung,bandung,campur,regol,6,1800000
Kost Bapak Franz Babakan Ciparay Bandung,bandung,campur,babakan ciparay,4,600000
Kost Sheza Regol Bandung,bandung,putri,regol,6,800000
Kost Pa Anas Astana Anyar Bandung,bandung,campur,astanaanyar,2,600000
Kost Grutty Garsel Cibaduyut Bandung,bandung,campur,bojongloa kidul,2,380000
Kost P15 Bojongloa Kidul Bandung,bandung,putri,bojongloa kidul,2,700000
Kost Pak H Didi II Tipe B Babakan Ciparay Bandung,bandung,campur,babakan ciparay,6,650000
Kost Pak H Didi II Tipe A Babakan Ciparay Bandung,bandung,campur,babakan ciparay,6,550000
Kost Pondok Cola Babakan Ciparay Bandung,bandung,putri,babakan ciparay,2,2500000
KOST JIREH Tipe B Bojongloa Kidul Bandung,bandung,campur,bojongloa kidul,6,750000
Kost Ohana Eksklusif Tipe E Semarang Tengah,semarang,putri,semarang tengah,4,850000
Kost Sadewa 5 Semarang Tengah,semarang,putra,semarang tengah,2,550000
Kost Adama Rejosari Semarang,semarang,putra,semarang timur,4,550000
Kost Via Semarang Tengah,semarang,putri,semarang tengah,6,800000
Kost Cita Tipe A Semarang Tengah,semarang,putri,semarang tengah,4,550000
Kost Cita Tipe D Semarang Tengah,semarang,putri,semarang tengah,4,750000
Kost Cita Tipe E Semarang Tengah,semarang,putri,semarang tengah,6,800000
Kost Putri 68 51 Tipe C Semarang Tengah,semarang,putri,semarang tengah,0,650000
Kost Seven Days Tipe B Semarang Utara,semarang,putri,semarang utara,2,1500000
Kost  Semarang Tengah Kota,semarang,campur,semarang tengah,0,600000
Kost Andita Semarang Utara,semarang,putri,semarang utara,4,550000
Kost Megumi Semarang Utara,semarang,putri,semarang utara,4,600000
Kost Elite 471 Tipe B Semarang Tengah,semarang,putri,semarang tengah,2,600000
Kost Elite 471 Tipe C Semarang Tengah,semarang,putri,semarang tengah,4,1300000
Kost Rumah Wotgandul 92F Semarang,semarang,campur,semarang tengah,2,1200000
Kost Amarantha Boarding House Semarang Timur,semarang,putri,semarang timur,6,700000
Kost Bu dian Tipe B Semarang Utara,semarang,campur,semarang utara,0,500000
Kost Bu Dian Tipe A Semarang Utara,semarang,campur,semarang utara,0,400000
Kost Ibu Cynthia Pedurungan Semarang,semarang,putra,pedurungan,4,400000
Kost Eksklusif Orenz House Semarang,semarang,campur,pedurungan,6,1100000
Kost Jeruk Timur II/1 Semarang Selatan,semarang,campur,semarang selatan,6,1100000
Kost Putri Bu Siti Pedurungan Semarang,semarang,putri,pedurungan,2,800000
Kost Rumah SB77 Semarang Selatan,semarang,campur,semarang selatan,4,1500000
Kost Puri Classic Pedurungan Semarang,semarang,campur,pedurungan,0,800000
Kost Lamper Tengah Tipe B Semarang Selatan,semarang,putra,semarang selatan,2,500000
Kost Kimar III Tipe C Gayamsari Semarang,semarang,campur,gayamsari,2,1400000
Kost Kimar III Tipe B Gayamsari Semarang,semarang,campur,gayamsari,0,1400000
Kost Olieana Resident Pedurungan Semarang,semarang,campur,pedurungan,6,1500000
Kost Griya Adidas Tipe A Pedurungan Semarang,semarang,campur,pedurungan,2,600000
Kost Griya Adidas Tipe B Pedurungan Semarang,semarang,campur,pedurungan,4,650000
Kost Griya Adidas Tipe D Pedurungan Semarang,semarang,campur,pedurungan,4,950000
Kost Griya Adidas Tipe E Pedurungan Semarang,semarang,campur,pedurungan,4,1100000
Kost Griya Adidas Tipe F Pedurungan Semarang,semarang,campur,pedurungan,4,1100000
Kost Sky Pedurungan Semarang,semarang,campur,pedurungan,4,700000
Kost Sky Tipe 2 Pedurungan Semarang,semarang,campur,pedurungan,2,500000
Kost Irawan Semarang Selatan,semarang,putri,semarang selatan,2,400000
Kost Bu Mujib Gayamsari Semarang,semarang,putri,gayamsari,2,450000
Kost Wolter Monginsidi Tipe A Genuk Semarang,semarang,putra,genuk,2,600000
Kost Wolter Monginsidi Tipe B Genuk Semarang,semarang,putra,genuk,2,450000
Kost Raharjo Genuk Semarang,semarang,putri,genuk,6,663000
Kost Genuk Indah F785 Genuk Semarang,semarang,putri,genuk,4,500000
Kost Genuk Indah Tipe A Genuk Semarang,semarang,putri,genuk,6,750000
Kost Genuk Indah Tipe B Semarang,semarang,campur,genuk,4,1050000
Kost Ngablak Indah Genuk Semarang,semarang,putra,genuk,2,400000
Kost Mahasiswi Unisula Genuk Semarang,semarang,putri,genuk,2,350000
Kost Ria Jw Tipe A Genuk Semarang,semarang,putri,genuk,4,550000
Kost Eyang Uti Genuk Semarang,semarang,campur,genuk,4,1300000
Kost Double D Tipe A Genuk Semarang,semarang,putri,genuk,4,500000
Kost Double D Tipe B Genuk Semarang,semarang,putri,genuk,4,550000
Kost Griya Rotussia Tipe A Genuk Semarang,semarang,putri,genuk,6,950000
Kost Griya Rotussia Tipe B Genuk Semarang,semarang,putri,genuk,6,900000
Kost Griya Rotussia Tipe C Genuk Semarang,semarang,putri,genuk,6,750000
Kost Avi Genuk Semarang,semarang,putri,genuk,6,1250000
Kost Bugen Genuk Semarang,semarang,putri,genuk,0,500000
Kost Griya Albylla Genuk Semarang,semarang,putri,genuk,6,1200000
Kost Agus Salim Semarang Tengah Semarang,semarang,putri,semarang tengah,4,1500000
Kost Anugerah Jl Citarum Tengah No 1 Tipe C Semarang,semarang,putri,semarang timur,4,1200000
Kost Altaf Putra Tipe A Purwosari Rejosari Semarang Timur,semarang,campur,semarang timur,6,1000000
Kost Anugerah Jl Citarum Tengah No 1 Tipe A Semarang,semarang,putri,semarang timur,2,750000
Kost Anugerah Jl Citarum Tengah No 1 Tipe B Semarang,semarang,putri,semarang timur,4,850000
Kost Pantes Kota Lama Semarang Tengah,semarang,campur,semarang tengah,6,2499000
Kost Pantes Semawis Semarang Tengah Semarang,semarang,campur,semarang tengah,6,3750000
Kost DS CoLive  34 Pecinan Semarang Tengah,semarang,campur,semarang tengah,6,2000000
Kost Ibu Azizah Semarang Timur,semarang,putri,semarang timur,2,500000
Kost Keluarga Citarum Semarang Timur,semarang,campur,semarang timur,0,550000
Kost Harian Kita A Gayamsari Semarang,semarang,campur,gayamsari,4,850000
Kost Harian Kita Jl.  karang Ingas Tipe B Gayamsari Semarang,semarang,campur,gayamsari,4,2600000
Kost Belakang Rumah Mami Semarang Timur,semarang,putri,semarang timur,2,400000
kost Bu Yanti Berkah Gayamsari Semarang,semarang,campur,gayamsari,2,400000
Kost Griya Rejosari Semarang Timur,semarang,campur,semarang timur,4,1500000
Kost Kentangan House Semarang,semarang,putri,semarang tengah,2,700000
Kost Rejosari Semarang Timur,semarang,campur,semarang timur,4,450000
Kost Wisma DS Semarang Timur,semarang,putri,semarang timur,4,1000000
Kost Melati Bu Dwi Tipe A Ungaran Barat Semarang,semarang,putri,ungaran barat,4,800000
Kost Marella Residence Ungaran Barat Semarang,semarang,campur,ungaran barat,6,1500000
Kost Guest House Timlo Solo Tipe A Ungaran Barat Semarang,semarang,campur,ungaran barat,6,2200000
Kost De Uno House Ungaran Timur Semarang,semarang,campur,ungaran timur,4,1000000
Kost Otin Ungaran Barat Semarang,semarang,putri,ungaran barat,2,475000
Kost Putri Pak Mahsun Ungaran Semarang,semarang,putri,ungaran timur,2,400000
Kost Griya Undaris Ungaran Timur Semarang,semarang,campur,ungaran timur,4,1600000
Kost Homy Dliwang Ungaran Barat Semarang,semarang,putri,ungaran barat,2,500000
Kost Pondok Melati Ungaran Barat Semarang,semarang,putri,ungaran barat,0,550000
Kost Kanaya Sidomulyo Ungaran Timur,semarang,putri,ungaran timur,4,500000
Kost Zaskia Ungaran Barat Semarang,semarang,campur,ungaran barat,4,480000
